zip,income_household_median
10001,123393
10002,46525
10003,153750
10004,220592
10005,211810
10006,209972
10007,250001
10009,87963
10010,156127
10011,146571
10012,130938
10013,159474
10014,167254
10016,153065
10017,132518
10018,133042
10019,121835
10021,156712
10022,171038
10023,157866
10024,182614
10025,109195
10026,74140
10027,64220
10028,168125
10029,38308
10030,42738
10031,65067
10032,56588
10033,75585
10034,69786
10035,40556
10036,100225
10037,51250
10038,115121
10039,48792
10040,64022
10044,106146
10065,160938
10069,226151
10075,146556
10128,148705
10162,110349
10279,250001
10280,206250
10282,250001
10301,84937
10302,76089
10303,79429
10304,71506
10305,86294
10306,97746
10307,138807
10308,122654
10309,123638
10310,106118
10312,111434
10314,104655
10451,37111
10452,37854
10453,35482
10454,27500
10455,36701
10456,35676
10457,44911
10458,42107
10459,39276
10460,36067
10461,65023
10462,63460
10463,72952
10464,100306
10465,90255
10466,66328
10467,47806
10468,46624
10469,76018
10470,81134
10471,108738
10472,43125
10473,50609
10474,41279
10475,62383
11001,144755
11004,109865
11005,91719
11101,116807
11102,102996
11103,92787
11104,84716
11105,100306
11106,85573
11109,198773
11201,169285
11203,68028
11204,67588
11205,86753
11206,57280
11207,55419
11208,59988
11209,92656
11210,83261
11211,105183
11212,40060
11213,62040
11214,64286
11215,180773
11216,95000
11217,158314
11218,95916
11219,55685
11220,64201
11221,85122
11222,123963
11223,63950
11224,41449
11225,85201
11226,81084
11228,80737
11229,72556
11230,69522
11231,138485
11232,87517
11233,62034
11234,94434
11235,61689
11236,82813
11237,82570
11238,132957
11239,35675
11249,121400
11354,62833
11355,53700
11356,91445
11357,97754
11358,88729
11360,100250
11361,108391
11362,118989
11363,110833
11364,101222
11365,85375
11366,117402
11367,75804
11368,71798
11369,80577
11370,74895
11372,77133
11373,71470
11374,86333
11375,104319
11377,73292
11378,84762
11379,92509
11385,87365
11411,118393
11412,98418
11413,114766
11414,98209
11415,88632
11416,85544
11417,86330
11418,84927
11419,91231
11420,98584
11421,89439
11422,108519
11423,80870
11426,107591
11427,92129
11428,84977
11429,98232
11432,75395
11433,71177
11434,76668
11435,79430
11436,86104
11691,57027
11692,49507
11693,67829
11694,103792
11697,134844
